affected_cells,denominator,denominator_metric,event_count,layer,metric,missing_candidate_slots,phase,rate,selected,source_sha256,subgroup,unit,value,value_kind
,,,,derived_funnel,selected_cells,,8,,,,family_holdout/grn_random3_0,,720,count
,,,,derived_funnel,selected_valid_cells,,8,,,,family_holdout/grn_random3_0,,717,count
,,,,derived_funnel,cells,,8,,,,family_holdout/grn_random3_1,,480,count
,,,,derived_funnel,cells_with_candidates,,8,,,,family_holdout/grn_random3_1,,480,count
,,,,derived_funnel,candidates_saved,,8,,,,family_holdout/grn_random3_1,,8849,count
,,,,derived_funnel,expected_candidate_slots,,8,,,,family_holdout/grn_random3_1,,8880,count
,,,,derived_funnel,missing_candidate_slots,,8,,,,family_holdout/grn_random3_1,,31,count
,,,,derived_funnel,candidates_formula_evaluated,,8,,,,family_holdout/grn_random3_1,,8849,count
,,,,derived_funnel,component_slots,,8,,,,family_holdout/grn_random3_1,,26547,count
,,,,derived_funnel,trajectory_slots,,8,,,,family_holdout/grn_random3_1,,26547,count
,,,,derived_funnel,selected_cells,,8,,,,family_holdout/grn_random3_1,,480,count
,,,,derived_funnel,selected_valid_cells,,8,,,,family_holdout/grn_random3_1,,480,count
,,,,derived_funnel,cells,,8,,,,family_holdout/grn_random3_2,,480,count
,,,,derived_funnel,cells_with_candidates,,8,,,,family_holdout/grn_random3_2,,480,count
,,,,derived_funnel,candidates_saved,,8,,,,family_holdout/grn_random3_2,,8829,count
,,,,derived_funnel,expected_candidate_slots,,8,,,,family_holdout/grn_random3_2,,8880,count
,,,,derived_funnel,missing_candidate_slots,,8,,,,family_holdout/grn_random3_2,,51,count
,,,,derived_funnel,candidates_formula_evaluated,,8,,,,family_holdout/grn_random3_2,,8829,count
,,,,derived_funnel,component_slots,,8,,,,family_holdout/grn_random3_2,,26487,count
,,,,derived_funnel,trajectory_slots,,8,,,,family_holdout/grn_random3_2,,26487,count
,,,,derived_funnel,selected_cells,,8,,,,family_holdout/grn_random3_2,,480,count
,,,,derived_funnel,selected_valid_cells,,8,,,,family_holdout/grn_random3_2,,473,count
,,,,derived_funnel,cells,,8,,,,family_holdout/grn_random3_3,,480,count
,,,,derived_funnel,cells_with_candidates,,8,,,,family_holdout/grn_random3_3,,480,count
,,,,derived_funnel,candidates_saved,,8,,,,family_holdout/grn_random3_3,,8861,count
,,,,derived_funnel,expected_candidate_slots,,8,,,,family_holdout/grn_random3_3,,8880,count
,,,,derived_funnel,missing_candidate_slots,,8,,,,family_holdout/grn_random3_3,,19,count
,,,,derived_funnel,candidates_formula_evaluated,,8,,,,family_holdout/grn_random3_3,,8861,count
,,,,derived_funnel,component_slots,,8,,,,family_holdout/grn_random3_3,,26583,count
,,,,derived_funnel,trajectory_slots,,8,,,,family_holdout/grn_random3_3,,26583,count
,,,,derived_funnel,selected_cells,,8,,,,family_holdout/grn_random3_3,,480,count
,,,,derived_funnel,selected_valid_cells,,8,,,,family_holdout/grn_random3_3,,477,count
,,,,derived_funnel,cells,,8,,,,family_holdout/grn_random3_4,,480,count
,,,,derived_funnel,cells_with_candidates,,8,,,,family_holdout/grn_random3_4,,480,count
,,,,derived_funnel,candidates_saved,,8,,,,family_holdout/grn_random3_4,,8880,count
